,Label,Tweet
0,0,haa jaise tum bhi abhi
1,1,banti hai empowered woman feminism pe gyan pelti hai aur din bhar roti rehti hai pahle rona band kar madarchod
2,1,ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me la ra hai madarchod
3,1,punjab in madarchodon ko khila raha hai nokrian day raha hai aur yeh imran ma
4,1,agar koi bole ki ja ke chill maar to madarchod ki gand maar lene ka
5,1,main jutt punjabi hoon aur paka league madarchod imran ki punjab say nafrat clear hai
6,1,to bhosdike tere baap ka kya ja raha hai tu apna ghar dekh na madarchod
7,1,sunny leone bana ke chodege teri maa ko samjh me aaya madarchod neem ka patta kadva hai
8,1,pata nahi aise sanghi kutte ko bha
9,1,screw the law of the land if find this chutiya madarchod mulla will lynch him murder him cut into millions of pieces and ha
10,0,boy donated blood to his gf ntwo months later they broke up nboy mujhe mera khoon lauta de ngirl throw
11,1,bc madarchod south africa england main man of the match award le chuke
12,1,madarchod congresi or bjp dono ki sarkar bani baad me wade bhul gye rajasthan me hamri city tak singal
13,1,madarchod socialify wale log
14,1,madarchod kya hai yeh
15,1,kis madarchod ki he giri hui harkt
16,1,teri maa behan ko har rooj chood rahe hai tum khayal rakho warnna aise hi chudawati rahati hai madarchod
17,1,deewar superhit nai aaj ke time ke hisaab se atbb hai chutye dont compa
18,1,virat and anushka future kid nanushka mamma bolo beta mammaaaa nkid mm ma maa madarchod
19,1,madarchod brahmno se mafi mango
20,1,suwar ke bache madar chod teri maa ki chut me ghungru bajaunga madarchod bhar
21,1,fuck off chal bhag yahan se madarchod
22,1,teri maa ko our ben ko chudva sale benchod madarchod gabbar
23,1,ya bakrichod jyada ni uchal rhe bhosdi vale madarchod nbawasir shakal ki ye nand bhokti
24,1,kidhar chupe hai re madarchod peta wale gandu log
25,1,tu waha kya kar raha ha madarchod bahan lode kaha comarision kar raha ha tu kaha no ka madarchod
26,1,madarchod maar dalo
27,1,isme embarassing kya hai bey madarchod ahmedabad commissioner has not given permission to hold rall
28,1,madarchod musalman aaiysha aur wo hai
29,1,madarchod randi ke bache gali kisko de rha hai gand phar dunga bharve bhosrike aukat me reh
30,1,bollywoodians are madarchod ye to kai saalon se bata raha hoon main tum logon ko
31,1,cranko madarchod you unfollowed me tu dekh ab kya karta hun main
32,1,teri ammi ko chodne wala insaan hai ye icc kya pure world isko badhai dekha bc hat mulle madarchod
33,1,rafel deal rafel deal rafel deal tum madarchod congressio ke raj mai fighter deal kyu nahi hue chu
34,1,saniya must say you are most madarchod randi on twitter cum ki pyassi abtak na jane loundo ne
35,1,never donate to any madarchod hindu priests they are chors
36,1,you madarchod in screwed air india and still have audacity to question government kya khate ho aur kya sochte ho
37,1,is madarchod sajid khan ko jayvijay se kya problem khud ko to kuch aata ni uski performance ko bekar bolta
38,1,teri maaa ko kuttey se chudwaya tera suwar baaap tab jakar tu madarchod paida huwa randi ka aulaaad madarchod
39,1,ambani supporter madarchod mar ja
40,1,bhadva madarchod bhakt
41,1,ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me la ra hai madarch
42,1,teri ammi sath first inning virat khela tha tb tu paida hua aur tera abbu abhi us result ka gum mana rha madarchod
43,1,oh the madarchod liberal manjrekar retweeted bhadwa congress ka dalal
44,1,madarchod jalta hai mujhse
45,1,modi madarchod hai na maa ko khara kar diya note ki line yr old maa modi is harami chutiya pm
46,1,teri ammi free ki raandi thi madarchod tu free ka thinker paida huwa free mey hi randi devil ko chod
47,1,kutte jite nahi madarchod dusro ko bhi nahi jeene deti
48,1,teri maa ka bhosra bharve ki aulad madarchod aukat me rahe nahi gand phar dunga bharve
49,1,abe madarchod bhagode multi starrer ese to daava me naseer ka equal
50,1,madarchod kya chahta hai
51,1,kis madarchod ki he giri hui harkt
52,1,madarchod shilpa randi rona band kar
53,1,madarchod bhenchod bsdk bhikhari jihadi porkistani aab theek
54,1,abe chup chutye ye to congress bhi kar sakti thi madarchod ahmedabad me aake marunga apna kam kar
55,1,bhag madarchod
56,1,bhak machod mullo ke abbu
57,1,bhadwe ki aulad ho tum sale madarchod ki wajah se ye zait failta hai hindu muslim ka bhen ke
58,1,madarchod why did your mom meet in gb road and get screwed by her
59,1,kyu ki ye tere bap ka nay hai tweeter madarchod bhosdike teri ma hogi zopdi wali bhen ke lode nikal yaha
60,1,terrorist madarchod humse baat karta hai
61,1,madarchod he saala
62,1,randi ki beti madarchod baaap se chuda moti bhains
63,1,madarchod chutiya tum ho sale
64,1,katra hotel owners madarchod hote hain
65,1,teri ammi ko se chudwa madarchod minus minus plus hota hai dimaag thikaney aajaye kahi
66,1,narad muni hai madarchod
67,1,madarchod karamfoot gaandu father of congress
68,1,abe behsaram madarchod madarjaat tu abhi tak mara nahi tu to suiside karne waala tha kutte harami madarchoddddddddddddddd
69,1,when any virtue signalling chutiya comes to your tl grab his collar and say they are not playing by any rules saala baap ko sikhata hai fucki
70,1,sab madarchod neta hai sb
71,1,arrey madarchod ky bacchey terko inko congrates karney ka time hain but ek tweet kar
72,1,chal is baat me tu zaira waseem ki tatti kha le hutiye warna ek baa
