Label,Tweet
0,@saud5683 @Mutayyab410 @shivang598 @Ranask35 @milkygaay @Aapaawaambaa @thetanmay @INCIndia Haa jaise tum bhi abhi p\xe1\x80\xa6 https://t.co/wZmXZPIMTD
1,"Banti hai empowered woman, feminism pe gyan pelti hai aur din bhar roti rehti hai. Pahle rona band kar madarchod!"
1,RT @kim_jong_korea: @updatingwait @Acutereply Ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai Madarchod t\xe1\x80\xa6
1,"@InviSibleSold @mabkhan86 @dridadahn Punjab in madarchodon ko Khila raha hai, nokrian day raha hai aur yeh imran ma\xe1\x80\xa6 https://t.co/fxaRgyKZXF"
1,RT @MrMonsterSaid: Agar koi bole ki ja ke chill maar to madarchod ki gand maar lene ka.
1,@InviSibleSold @mabkhan86 @dridadahn Main jutt Punjabi hoon aur paka N league. Madarchod Imran ki Punjab say nafrat clear hai.
1,@adn_merry To Bhosdike tere Baap ka kya ja raha hai? tu Apna Ghar dekh na Madarchod
1,@updatingwait @Acutereply SUNNY LEONE BANA KE CHODEGE TERI MAA KO SAMJH ME AAYA MADARCHOD NEEM KA PATTA KADVA HAI\xe1\x80\xa6 https://t.co/tsrMfs16rp
1,@akramtyagi @BSF_India @rajnathsingh @Uppolice @moradabadpolice @myogiadityanath Pata nahi aise sanghi kutte ko bha\xe1\x80\xa6 https://t.co/n1PLeOgW0v
1,"RT @AnshKSpeaks: Screw the law of the land. If I find this chutiya Madarchod Mulla I will Lynch him, murder him, cut into millions of pieces and Ha\xe1\x80\xa6"
0,A boy donated blood to his gf !\n\nTwo months later they broke up ?\n\nBoy- mujhe mera khoon lauta de !! \n\nGirl- (throw\xe1\x80\xa6 https://t.co/0Ik5oBqSDb
1,@SHARIQSAM @imjadeja @RoflGandhi_ Bc madarchod South Africa England main @imjadeja Man of the match award le chuke\xe1\x80\xa6 https://t.co/hGTCrbEDPB
1,"@INCIndia Madarchod congresi or Bjp dono ki sarkar bani baad me  wade bhul gye"" Rajasthan me hamri City tak singal\xe1\x80\xa6 https://t.co/4LCITdwiVc"
1,Madarchod socialify wale log \xf0\x9f\x98\xa1
1,@abdullah_lagh @MehrTarar Madarchod kya hai yeh
1,RT @ISMATKH01417041: @ShankhNaad @PetaIndia @ChouhanShivraj Kis madarchod ki he giri hui harkt
1,@m_sukhwal @aajtak Teri maa Behan ko har rooj chood rahe hai tum khayal rakho .warnna aise hi chudawati rahati hai madarchod.
1,@BhaiyyaSexy @SatyaSibaSabat1 @taran_adarsh Deewar superhit nai aaj ke time ke hisaab se ATBB hai chutye dont compa\xe1\x80\xa6 https://t.co/51ENgEeb67
1,"*Virat and Anushka's future kid*\n\nAnushka: Mamma bolo beta, mammaaaa\n\nKid: Mm.. Ma.. Maa.. Madarchod!"
1,@dasraghubar @narendramodi @AmitShah @BJP4India @BJPLive @BJP4Jharkhand Madarchod brahmno se mafi mango
1,@LmRajpt @imjadeja @RoflGandhi_ Suwar ke bache ..madar chod..Teri maa ki chut me..ghungru bajaunga madarchod...bhar\xe1\x80\xa6 https://t.co/bFTERvXNoQ
1,@HornyGlF Fuck off! Chal bhag yahan se madarchod
1,@LogicalGabbar @imjadeja Teri maa ko our Ben ko chudva sale benchod .... madarchod....Gabbar
1,@I_Daredevil @ElahiHiba Ya bakrichod jyada ni uchal rhe h bhosdi vale madarchod\nBawasir c shakal ki h ye\nAnd bhokti\xe1\x80\xa6 https://t.co/zcYFxTLXe5
1,@ShankhNaad @SmokingSkills_ @PetaIndia @ChouhanShivraj @PetaIndia kidhar chupe hai re madarchod peta wale gandu log.?
1,@KRKActor1 tu waha kya kar raha ha madarchod. bahan k lode kaha comarision kar raha ha . tu kaha 1 No ka madarchod\xe1\x80\xa6 https://t.co/m7nBRT1yUR
1,@matchmyvibe_  madarchod maar dalo
1,@jeevanblog1 Isme embarassing kya hai bey madarchod? Ahmedabad commissioner has not given permission to hold a rall\xe1\x80\xa6 https://t.co/G8Vw51FXUA
1,@NANGI_POOJA Madarchod musalman aaiysha aur wo hai
1,@LmRajpt @imjadeja @RoflGandhi_ Madarchod Randi ke bache ..gali kisko de rha hai...gand phar dunga bharve....bhosrike aukat me reh....
1,Bollywoodians are madarchod ye to kai saalon se bata raha hoon main tum logon ko. https://t.co/1tFNvDDe15
1,@ElCrankoPunko cranko madarchod you unfollowed me tu dekh ab kya karta hun main
1,@M_walim @ICC @imVkohli @AnushkaSharma Teri ammi ko chodne wala insaan hai ye icc kya pure world isko badhai dekha bc hat mulle madarchod
1,@OfficeOfRG Rafel Deal Rafel Deal Rafel Deal... Tum madarchod Congressio ke raj mai fighter deal kyu nahi hue?? Chu\xe1\x80\xa6 https://t.co/PjvpGURUuz
1,"@SaniyaChatterje Saniya, must say you are most madarchod randi on twitter...cum ki pyassi...abtak na jane loundo ne\xe1\x80\xa6 https://t.co/0iFjBqmb3W"
1,"@girishalva @garuna73 I never donate to any madarchod hindu priests, they are chors."
1,@ManishTewari you madarchod in @incindia screwed Air India and still have audacity to question Government. Kya khate ho aur kya sochte ho \xe1\x80\xa6 https://t.co/1RRcR1QQCd
